"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Pizza with cheese and extra vegetables, medium crust","Pizza","220","9.21","27.63","3.36","2.1","8.23","3.627","2.46","1.37","13","48","56","1","96","0","1500","95","0.314","0.171","3.261","0.087","41","34","103","75","15.3","0.33","0","5","0","0.77","0","5.9","154","177","21","2.42","1.13","0.13","16.3","172","509","0","0","0","0.079","0.063","0.043","0.11","0.137","0.472","1.898","0.69","0.1","2.278","0.031","0.002","1.199","0.139","0.002","0.009","0.003","0.003","0","52.82"
"Pizza with cheese and extra vegetables, thick crust","Pizza","240","9.46","29.45","3.23","2.1","9.46","3.71","2.5","2.395","15","52","61","1","96","0","1653","52","0.319","0.183","3.171","0.067","57","36","132","92","15.8","0.3","0","3.6","0","0.78","0","9","158","184","21","2.44","1.14","0.121","16","170","538","0","0","0","0.087","0.069","0.046","0.119","0.144","0.492","1.866","0.74","0.103","2.303","0.037","0.002","2.095","0.266","0.001","0.009","0.003","0.003","0","49.41"
"Pizza with cheese and extra vegetables, thin crust","Pizza","233","9.63","24.45","3.32","2.2","10.87","4.652","3.065","2.263","20","46","55","2","101","1","1450","86","0.159","0.139","2.211","0.078","40","32","100","72","16.8","0.41","0","7.2","0","1.08","0","7.8","216","223","20","1.84","1.25","0.134","15.4","192","586","0","0","0","0.119","0.095","0.063","0.16","0.193","0.655","2.295","0.89","0.128","2.827","0.037","0.001","1.967","0.255","0.001","0.013","0.004","0.004","0.001","52.55"
"Pizza with extra meat and extra vegetables, medium crust","Pizza","233","11.43","25.94","3.09","2","9.29","3.997","2.934","1.503","22","47","54","1","84","0","1432","74","0.314","0.185","3.819","0.114","39","32","99","72","20.8","0.46","0","4.1","0","0.74","0","5.4","147","190","22","2.29","1.4","0.114","17.7","192","517","0","0","0","0.076","0.06","0.041","0.106","0.132","0.478","2.131","0.835","0.143","2.708","0.042","0.002","1.314","0.141","0.001","0.015","0.003","0.004","0","51.23"
"Pizza with extra meat and extra vegetables, thick crust","Pizza","239","10.98","26.38","2.94","1.9","9.97","3.85","2.899","2.339","22","48","55","1","85","0","1478","46","0.3","0.19","3.567","0.096","51","33","119","84","20.6","0.4","0","3.7","0","0.74","0","8.1","143","187","21","2.31","1.34","0.112","16.5","188","522","0","0","0","0.078","0.062","0.041","0.107","0.13","0.466","1.993","0.83","0.139","2.672","0.045","0.002","2.047","0.245","0.001","0.014","0.003","0.004","0","50.52"
"Pizza with extra meat and extra vegetables, thin crust","Pizza","246","12.42","22.19","2.96","2","12.01","5.025","3.637","2.359","31","44","51","1","84","0","1345","61","0.166","0.159","2.996","0.115","37","30","93","67","23.8","0.57","0","6","0.1","1.02","0","7","201","235","21","1.72","1.59","0.113","17.1","217","587","0","0","0","0.111","0.088","0.059","0.149","0.18","0.644","2.554","1.058","0.182","3.348","0.051","0.002","2.051","0.246","0.001","0.021","0.004","0.005","0.001","50.92"
"Pizza with extra meat, medium crust","Pizza","274","13.85","26.62","2.92","1.8","12.4","5.273","4.153","1.87","32","50","56","0","73","0","1520","46","0.344","0.197","4.411","0.134","41","33","104","75","25.4","0.6","0","1.1","0.1","0.78","0","5.7","153","212","24","2.28","1.7","0.099","20.6","202","617","0","0","0","0.081","0.064","0.044","0.114","0.142","0.57","2.85","1.237","0.235","3.793","0.061","0.002","1.632","0.16","0.002","0.025","0.004","0.005","0","44.74"
"Pizza with extra meat, thick crust","Pizza","278","13.33","26.64","2.74","1.8","13.02","5.065","4.109","2.721","31","50","57","0","74","0","1538","18","0.325","0.201","4.135","0.117","53","33","122","86","25.3","0.54","0","1","0.1","0.77","0","8.4","146","207","23","2.28","1.64","0.098","19.2","199","616","0","0","0","0.082","0.065","0.043","0.113","0.137","0.549","2.681","1.221","0.23","3.75","0.065","0.002","2.378","0.266","0.001","0.024","0.004","0.005","0","44.61"
"Pizza with extra meat, thin crust","Pizza","303","15.77","22.71","2.7","1.8","16.43","6.827","5.348","2.919","45","48","54","0","70","0","1450","22","0.195","0.173","3.733","0.143","40","30","99","71","30.4","0.77","0","2.2","0.2","1.09","0","7.5","212","268","23","1.65","2.01","0.093","21","232","728","0","0","0","0.12","0.095","0.064","0.163","0.196","0.781","3.559","1.619","0.31","4.872","0.078","0.002","2.537","0.28","0.001","0.033","0.004","0.007","0.001","42.24"
"Pizza with meat and fruit, medium crust","Pizza","233","10.98","28.11","3.85","2","8.58","3.831","2.479","1.437","19","49","55","0","76","0","1525","46","0.403","0.183","3.61","0.111","41","33","104","75","20.7","0.41","0","5","0.1","0.68","0","5.4","152","197","22","2.1","1.29","0.103","17.5","177","606","0","0","0","0.08","0.064","0.044","0.114","0.141","0.492","2.004","0.771","0.128","2.269","0.029","0.002","1.25","0.155","0.002","0.01","0.003","0.003","0","49.95"
"Pizza with meat and fruit, thick crust","Pizza","244","10.58","29.06","3.6","2","9.53","3.763","2.495","2.386","19","51","58","0","80","0","1616","18","0.379","0.19","3.378","0.088","55","35","129","90","20","0.36","0","4.1","0","0.71","0","8.4","152","195","22","2.18","1.24","0.102","16.5","174","604","0","0","0","0.086","0.068","0.045","0.118","0.142","0.491","1.9","0.782","0.123","2.281","0.035","0.002","2.082","0.27","0.001","0.009","0.003","0.003","0","48.44"
"Pizza with meat and fruit, thin crust","Pizza","253","11.98","25.29","3.94","2","11.51","5","3.122","2.401","28","48","54","0","76","0","1507","22","0.268","0.154","2.639","0.107","42","32","103","74","23.6","0.52","0","7.1","0.1","1","0","7.4","218","252","22","1.43","1.46","0.098","17","199","716","0","0","0","0.124","0.099","0.066","0.169","0.202","0.696","2.468","1.008","0.165","2.846","0.036","0.001","2.078","0.281","0.001","0.013","0.004","0.004","0.001","48.36"
"Pizza with meat and vegetables, from frozen, medium crust","Pizza","276","11.28","25.14","4.85","2.2","14.43","5.083","5.89","2.578","16","58","65","0","88","0","1815","55","0.216","0.233","2.379","0.149","34","0","57","34","24.5","0.62","0","3.4","0","1.13","0","8.2","152","181","25","1.36","1.71","0.17","9","209","555","0","0","0","0.194","0.037","0.052","0.112","0.121","0.442","2.663","1.462","0.273","5.559","0.056","0.002","2.291","0.22","0.038","0.029","0","0","0","46.71"
"Pizza with meat and vegetables, from frozen, thick crust","Pizza","271","12.63","28.78","7.26","2.3","11.75","4.586","4.343","1.89","19","61","68","0","92","0","1899","58","0.25","0.206","2.155","0.14","41","29","98","70","24.3","0.8","0","4.2","0","0.92","0","6.7","155","211","27","1.36","1.87","0.21","11.6","189","640","0","0","0","0.158","0.03","0.042","0.1","0.126","0.426","2.418","1.286","0.281","4.015","0.046","0.001","1.669","0.167","0.031","0.024","0","0","0","44.24"
"Pizza with meat and vegetables, from frozen, thin crust","Pizza","276","11.28","25.14","4.85","2.2","14.43","5.083","5.89","2.578","16","58","65","0","88","0","1815","55","0.216","0.233","2.379","0.149","34","0","57","34","24.5","0.62","0","3.4","0","1.13","0","8.2","152","181","25","1.36","1.71","0.17","9","209","555","0","0","0","0.194","0.037","0.052","0.112","0.121","0.442","2.663","1.462","0.273","5.559","0.056","0.002","2.291","0.22","0.038","0.029","0","0","0","46.71"
"Pizza with meat and vegetables, from restaurant or fast food, medium crust","Pizza","244","11.02","25.38","3.73","2.2","10.9","4.407","3.787","1.89","27","54","61","0","81","0","1689","26","0.256","0.266","3.1","0.098","36","26","87","62","21.7","0.68","0","0.1","0","0.86","0","6.2","120","183","23","1.86","1.24","0.138","23.1","184","589","0","0","0","0.147","0.028","0.039","0.093","0.107","0.447","2.33","1.1","0.195","3.497","0.042","0.001","1.521","0.157","0.029","0.022","0","0","0","50.4"
"Pizza with meat and vegetables, from restaurant or fast food, thick crust","Pizza","259","10.94","30.11","3.23","2","10.53","4.175","2.806","2.607","20","55","63","1","90","0","1719","31","0.337","0.191","3.459","0.083","59","37","137","96","19.2","0.41","0","2.9","0","0.77","0","9.2","161","198","22","2.35","1.38","0.101","17.3","179","556","0","0","0","0.091","0.072","0.048","0.124","0.151","0.532","2.115","0.889","0.133","2.574","0.047","0.002","2.277","0.281","0.001","0.014","0.004","0.004","0","46.13"
"Pizza with meat and vegetables, from restaurant or fast food, thin crust","Pizza","269","12.66","24.99","3.31","2.1","13.13","5.644","3.753","2.659","31","50","58","1","89","0","1540","47","0.182","0.151","2.729","0.113","43","33","105","76","24","0.65","0","6.2","0.1","1.07","0","8.1","224","251","22","1.6","1.77","0.094","17.8","214","618","0","0","0","0.127","0.101","0.067","0.171","0.206","0.74","2.828","1.206","0.192","3.439","0.058","0.002","2.306","0.281","0.002","0.024","0.004","0.006","0.001","46.6"
"Pizza with meat other than pepperoni, from frozen, medium crust","Pizza","265","12.5","29.18","4.23","2.6","10.88","5.012","3.14","1.739","22","60","68","0","89","0","1852","25","0.18","0.19","1.879","0.124","41","17","87","58","21","0.68","0","0.9","0.1","0.73","0","5.5","191","222","25","1.91","1.46","0.168","27.7","195","529","0","0","0","0.168","0.076","0.063","0.144","0.174","0.598","2.644","1.057","0.158","2.918","0.036","0.001","1.527","0.151","0.015","0.017","0.002","0.004","0","45.09"
"Pizza with meat other than pepperoni, from frozen, thick crust","Pizza","263","12.66","31.37","4.91","2.4","9.65","4.091","2.668","1.56","19","59","67","0","88","0","1829","23","0.244","0.246","2.172","0.104","35","0","60","35","19.6","0.72","0","1.8","0","0.72","0","7.1","169","233","26","1.75","1.37","0.246","34.1","182","566","0","0","0","0.187","0.036","0.056","0.117","0.157","0.508","2.014","1.007","0.144","2.495","0.032","0","1.315","0.187","0.028","0.016","0","0.001","0","43.83"
"Pizza with meat other than pepperoni, from frozen, thin crust","Pizza","267","12.34","26.98","3.56","2.8","12.1","5.933","3.612","1.918","25","61","69","0","90","0","1876","28","0.117","0.135","1.586","0.145","48","34","114","81","22.4","0.65","0","0.1","0.1","0.74","0","3.9","213","210","24","2.08","1.55","0.09","21.3","208","491","0","0","0","0.149","0.116","0.07","0.172","0.192","0.687","3.274","1.107","0.173","3.342","0.04","0.002","1.739","0.115","0.002","0.018","0.003","0.007","0","46.34"
"Pizza with meat other than pepperoni, from restaurant or fast food, medium crust","Pizza","280","11.5","30.62","3.32","2.3","12.35","5.033","4.049","2.352","23","60","68","0","91","0","1884","23","0.345","0.19","3.8","0.08","53","35","126","88","26.3","0.48","0","1.7","0","0.91","0","6.7","144","193","24","2.41","1.32","0.111","20.3","197","633","0","0","0","0.081","0.065","0.044","0.111","0.135","0.505","2.776","1.17","0.187","3.732","0.068","0.002","2.057","0.193","0.001","0.027","0.003","0.006","0.001","43.06"
"Pizza with meat other than pepperoni, from restaurant or fast food, NS as to type of crust","Pizza","280","11.5","30.62","3.32","2.3","12.35","5.033","4.049","2.352","23","60","68","0","91","0","1884","23","0.345","0.19","3.8","0.08","53","35","126","88","26.3","0.48","0","1.7","0","0.91","0","6.7","144","193","24","2.41","1.32","0.111","20.3","197","633","0","0","0","0.081","0.065","0.044","0.111","0.135","0.505","2.776","1.17","0.187","3.732","0.068","0.002","2.057","0.193","0.001","0.027","0.003","0.006","0.001","43.06"
"Pizza with meat other than pepperoni, from restaurant or fast food, thick crust","Pizza","282","11.06","30.36","2.82","2.3","12.94","4.805","3.941","3.217","23","60","67","0","91","0","1878","22","0.385","0.19","3.57","0.07","55","43","136","98","25.5","0.49","0","1","0","0.9","0","11.8","143","193","23","2.45","1.26","0.107","17.7","190","637","0","0","0","0.079","0.063","0.043","0.11","0.132","0.493","2.585","1.147","0.183","3.623","0.071","0.003","2.815","0.304","0.001","0.026","0.003","0.006","0.001","43.22"
"Pizza with meat other than pepperoni, from restaurant or fast food, thin crust","Pizza","321","13.36","27","3.02","2.5","17.71","6.888","5.523","3.926","36","59","70","0","140","0","1836","22","0.225","0.15","3.06","0.075","52","34","123","86","37.7","0.58","0","2.1","0","1.3","0","9.6","213","254","25","1.73","1.51","0.105","18.6","225","782","0","0","0","0.123","0.097","0.065","0.166","0.198","0.739","3.668","1.618","0.262","5.075","0.094","0.003","3.412","0.366","0.001","0.04","0.005","0.009","0.002","38.83"
"Pizza with pepperoni, from frozen, medium crust","Pizza","271","12.43","29.68","4.23","2.6","11.38","5.276","3.34","1.654","22","60","68","0","91","0","1890","26","0.176","0.19","1.771","0.121","42","17","89","60","19.2","0.68","0","1","0.1","0.74","0","5.9","195","224","25","1.93","1.45","0.17","28.2","191","557","0","0","0","0.171","0.078","0.064","0.148","0.178","0.631","2.77","1.134","0.182","3.08","0.029","0.001","1.453","0.15","0.016","0.014","0.002","0.004","0","44.08"
"Pizza with pepperoni, from frozen, thick crust","Pizza","268","12.6","31.83","4.92","2.4","10.05","4.296","2.828","1.485","19","59","67","0","90","0","1860","23","0.242","0.246","2.087","0.101","36","0","61","36","18.2","0.72","0","1.8","0","0.73","0","7.4","172","235","26","1.76","1.36","0.249","34.6","178","591","0","0","0","0.19","0.037","0.057","0.119","0.16","0.534","2.108","1.071","0.163","2.623","0.026","0","1.248","0.186","0.029","0.013","0","0.001","0","42.96"
"Pizza with pepperoni, from frozen, thin crust","Pizza","274","12.25","27.52","3.54","2.9","12.71","6.257","3.853","1.824","25","61","69","0","92","0","1919","29","0.11","0.133","1.455","0.14","49","35","117","83","20.3","0.65","0","0.1","0.1","0.75","0","4.3","218","212","24","2.1","1.53","0.091","21.8","204","523","0","0","0","0.152","0.119","0.072","0.176","0.197","0.728","3.432","1.198","0.2","3.538","0.032","0.002","1.657","0.113","0.002","0.015","0.003","0.007","0","45.2"
"Pizza with pepperoni, from restaurant or fast food,  medium crust","Pizza","282","11.74","31.98","3.26","2.3","11.91","5.092","3.853","2.064","25","62","70","0","94","0","1957","24","0.43","0.22","4.14","0.08","56","36","131","92","25.4","0.5","0","0.9","0","0.87","0","6.4","153","198","24","2.52","1.4","0.113","23.6","195","685","0","0","0","0.086","0.068","0.047","0.118","0.144","0.545","2.748","1.17","0.186","3.511","0.063","0.014","1.798","0.188","0.001","0.022","0.004","0.006","0.001","41.77"
"Pizza with pepperoni, from restaurant or fast food, NS as to type of crust","Pizza","282","11.74","31.98","3.26","2.3","11.91","5.092","3.853","2.064","25","62","70","0","94","0","1957","24","0.43","0.22","4.14","0.08","56","36","131","92","25.4","0.5","0","0.9","0","0.87","0","6.4","153","198","24","2.52","1.4","0.113","23.6","195","685","0","0","0","0.086","0.068","0.047","0.118","0.144","0.545","2.748","1.17","0.186","3.511","0.063","0.014","1.798","0.188","0.001","0.022","0.004","0.006","0.001","41.77"
"Pizza with pepperoni, from restaurant or fast food, thick crust","Pizza","287","11.49","31.84","2.93","2.2","12.58","4.839","3.731","2.98","24","63","71","0","95","0","1966","23","0.39","0.2","3.5","0.08","57","46","143","103","24.8","0.51","0","0.7","0","0.87","0","11.5","148","195","23","2.55","1.35","0.109","20","189","684","0","0","0","0.085","0.066","0.045","0.115","0.139","0.53","2.544","1.144","0.18","3.399","0.065","0.011","2.601","0.303","0.002","0.023","0.003","0.005","0","41.53"
"Pizza with pepperoni, from restaurant or fast food, thin crust","Pizza","331","14.01","29","3.22","2.3","17.61","7.115","5.623","3.617","37","62","70","0","94","0","1958","24","0.225","0.17","3.31","0.095","56","36","131","92","37.5","0.76","0","2","0","1.29","0","9.5","216","253","25","1.95","1.64","0.11","24.5","223","875","0","0","0","0.11","0.091","0.063","0.162","0.196","0.772","3.75","1.725","0.278","5.114","0.094","0.021","3.176","0.319","0.002","0.036","0.005","0.008","0.001","36.05"
"Pizza with pepperoni, from school lunch, thick crust","Pizza","259","14.35","28.3","4.03","4.3","9.82","4.219","2.89","1.21","24","36","43","0","83","0","1839","21","0.211","0.284","2.519","0.143","39","20","87","59","23.2","1.19","0","0.2","0","0.81","0","10.8","155","305","41","2.53","1.93","0.079","22","308","474","0","0","0","0.12","0.101","0.063","0.153","0.174","0.6","2.114","0.894","0.149","2.315","0.024","0","0.701","0.062","0","0.014","0.002","0.004","0","45.3"
"Pizza with pepperoni, from school lunch, thin crust","Pizza","254","12.78","31.24","7.62","4.3","8.62","2.81","2.12","2.23","24","67","75","0","106","0","1964","24","0.347","0.337","3.729","0.187","36","19","80","55","37.7","2.16","0","0","0","0.8","0","5.2","202","316","51","2.74","2.51","0.1","23.4","382","495","0","0","0","0.089","0.075","0.047","0.114","0.129","0.422","1.324","0.521","0.118","1.905","0.017","0","1.954","0.188","0","0.033","0.006","0.011","0","44.88"
"Pizza with pepperoni, stuffed crust","Pizza","296","12.92","27.19","2.62","1.5","15.01","6.984","4.527","1.831","37","99","106","1","79","0","844","41","0.318","0.326","3.882","0.143","45","37","113","82","20.6","0.49","0","2.8","0.1","0.7","0","8.1","217","240","22","1.97","1.58","0.082","17.3","233","709","0","0","0","0.158","0.129","0.082","0.213","0.251","0.911","3.551","1.461","0.285","4.046","0.049","0.001","1.598","0.156","0","0.026","0.003","0.007","0","41.92"
"Pizza, cheese and vegetables, gluten-free thick crust","Pizza","227","6.68","26.72","3.17","2.7","10.52","3.167","4.854","0.861","11","35","41","1","66","0","1323","72","0.167","0.335","1.909","0.088","0","23","23","23","11.1","0.16","0","4.2","0.1","1.27","0","4.6","202","126","14","1.89","0.93","0.075","5.1","111","439","0","0","0","0.069","0.058","0.046","0.099","0.109","0.348","1.807","0.516","0.116","4.39","0.024","0","0.813","0.057","0","0.007","0.003","0.002","0","54.2"
"Pizza, cheese and vegetables, gluten-free thin crust","Pizza","222","7.18","22.72","3.09","2.3","11.64","3.627","5.451","0.933","14","43","49","2","80","1","1601","87","0.139","0.299","1.727","0.092","0","21","21","21","10.8","0.19","0","5.1","0.1","1.41","0","5.5","215","141","15","1.74","1.02","0.075","6.1","119","437","0","0","0","0.083","0.07","0.052","0.115","0.129","0.413","2.038","0.593","0.137","5.046","0.028","0","0.88","0.066","0","0.008","0.003","0.003","0","56.56"
"Pizza, cheese and vegetables, whole wheat thick crust","Pizza","230","9.67","28.74","3.56","3.5","9.29","2.946","4.071","1.319","11","35","41","1","67","0","1323","105","0.251","0.251","3.266","0.163","31","51","74","53","15.1","0.16","0","4.2","0.1","1.17","0","5.9","183","193","50","2.67","1.41","0.141","16.8","188","498","0","0","0","0.072","0.058","0.037","0.09","0.102","0.331","1.621","0.524","0.113","3.985","0.024","0","1.208","0.121","0","0.006","0.002","0.002","0","50.02"
"Pizza, cheese and vegetables, whole wheat thin crust","Pizza","225","9.61","24.39","3.4","3.1","10.64","3.449","4.82","1.305","14","43","49","2","81","1","1601","114","0.207","0.233","2.847","0.155","25","44","63","45","14.2","0.19","0","5.1","0.1","1.33","0","6.6","200","199","45","2.38","1.43","0.131","15.7","184","483","0","0","0","0.086","0.07","0.045","0.108","0.123","0.399","1.888","0.6","0.135","4.719","0.027","0","1.201","0.118","0","0.007","0.002","0.003","0","53.11"
"Pizza, cheese with vegetables, from frozen, thick crust","Pizza","245","11.64","31.31","5.02","2.4","8.22","3.577","2.055","1.296","15","57","65","1","95","0","1799","36","0.228","0.232","1.875","0.097","35","1","60","35","16.4","0.65","0","4","0","0.69","0","7.3","166","224","25","1.68","1.24","0.243","32.6","174","520","0","0","0","0.184","0.036","0.055","0.114","0.153","0.483","1.703","0.848","0.113","1.926","0.017","0","1.085","0.175","0.028","0.009","0","0","0","46.5"
"Pizza, cheese, from frozen, thick crust","Pizza","260","12.37","32.91","5.09","2.5","8.78","3.825","2.198","1.381","16","61","69","0","93","0","1925","24","0.241","0.246","1.985","0.092","37","0","63","37","17.1","0.7","0","1.9","0","0.72","0","7.5","177","238","26","1.77","1.32","0.255","34.8","175","556","0","0","0","0.197","0.038","0.059","0.122","0.164","0.517","1.82","0.907","0.121","2.059","0.018","0","1.155","0.187","0.03","0.01","0","0","0","43.46"
"Pizza, cheese, from frozen, thin crust","Pizza","263","11.91","28.8","3.71","3","11.07","5.698","3.028","1.695","21","64","72","0","97","0","2013","30","0.103","0.127","1.283","0.13","51","36","122","87","18.9","0.62","0","0.1","0","0.74","0","4.2","228","215","24","2.14","1.49","0.091","21.4","201","471","0","0","0","0.159","0.125","0.075","0.183","0.205","0.713","3.096","0.976","0.143","2.799","0.021","0.002","1.547","0.11","0.002","0.01","0.003","0.006","0","46.01"
"Pizza, cheese, from restaurant or fast food, medium crust","Pizza","266","11.39","33.33","3.58","2.3","9.69","4.465","2.608","1.681","17","61","69","0","92","0","1915","58","0.39","0.195","3.825","0.08","52","40","129","93","16.4","0.42","0","1.4","0","0.83","0","6.7","188","216","24","2.48","1.34","0.105","19.9","172","598","0","0","0","0.101","0.08","0.055","0.141","0.175","0.602","2.298","0.858","0.117","2.388","0.037","0.002","1.463","0.177","0.002","0.012","0.004","0.004","0","43.17"
"Pizza, cheese, from restaurant or fast food, NS as to type of crust","Pizza","266","11.39","33.33","3.58","2.3","9.69","4.465","2.608","1.681","17","61","69","0","92","0","1915","58","0.39","0.195","3.825","0.08","52","40","129","93","16.4","0.42","0","1.4","0","0.83","0","6.7","188","216","24","2.48","1.34","0.105","19.9","172","598","0","0","0","0.101","0.08","0.055","0.141","0.175","0.602","2.298","0.858","0.117","2.388","0.037","0.002","1.463","0.177","0.002","0.012","0.004","0.004","0","43.17"
"Pizza, cheese, from restaurant or fast food, thick crust","Pizza","271","10.81","33.17","3.34","2.2","10.54","4.226","2.595","2.752","17","61","69","0","93","0","1927","22","0.365","0.2","3.495","0.06","66","40","152","106","16.6","0.35","0","1.2","0","0.82","0","10","179","209","23","2.48","1.27","0.104","18.1","169","597","0","0","0","0.102","0.081","0.054","0.139","0.168","0.574","2.101","0.849","0.114","2.373","0.042","0.002","2.403","0.309","0.001","0.011","0.004","0.004","0","43.05"
"Pizza, cheese, from restaurant or fast food, thin crust","Pizza","302","12.85","31.2","3.61","2.5","13.95","6.224","3.507","3.044","28","64","72","0","97","0","2013","30","0.205","0.16","2.595","0.065","56","40","135","96","18.9","0.57","0","3","0","1.29","0","9.7","288","295","24","1.71","1.59","0.1","20","199","742","0","0","0","0.165","0.132","0.088","0.222","0.267","0.909","3.01","1.202","0.163","3.195","0.048","0.002","2.636","0.352","0.002","0.018","0.005","0.006","0.001","38.92"
"Pizza, cheese, from school lunch, medium crust","Pizza","250","13.67","29.7","6.07","3.4","8.59","4.179","2.124","0.92","16","46","52","0","80","0","1928","43","0.263","0.263","3.119","0.134","42","28","100","71","18.4","1.8","0","0.2","0","0.74","0","5","206","300","46","2.58","1.9","0.136","26.3","326","421","0","0","0","0.135","0.113","0.072","0.172","0.195","0.626","1.942","0.754","0.101","1.857","0.016","0","0.748","0.072","0","0.01","0.002","0.004","0","45.68"
"Pizza, cheese, from school lunch, thick crust","Pizza","254","14.62","28.08","5.02","2.9","9.27","4.358","2.411","1.095","19","32","38","0","73","0","1829","55","0.242","0.179","3.242","0.104","50","38","123","88","17.9","2.1","0","0.4","0","0.72","0","5.8","193","284","40","2.63","1.83","0.174","29.9","303","421","0","0","0","0.132","0.111","0.07","0.168","0.191","0.612","1.962","0.771","0.098","1.996","0.018","0","0.835","0.077","0","0.01","0.002","0.004","0","45.73"
"Pizza, cheese, from school lunch, thin crust","Pizza","247","12.72","31.31","7.12","4","7.91","4","1.837","0.745","12","59","66","0","87","0","2027","31","0.284","0.347","2.996","0.163","34","19","78","54","19","1.49","0","0","0","0.75","0","4.2","218","316","51","2.53","1.97","0.098","22.7","348","421","0","0","0","0.138","0.116","0.073","0.175","0.199","0.64","1.921","0.737","0.104","1.719","0.015","0","0.662","0.067","0","0.011","0.002","0.004","0","45.64"
"Pizza, cheese, gluten-free thick crust","Pizza","260","7.81","30.54","3.27","2.9","11.88","3.645","5.311","0.979","14","42","46","0","49","0","1588","24","0.194","0.398","2.245","0.081","0","25","25","25","11.7","0.19","0","0.2","0.1","1.38","0","4.7","234","147","15","1.81","1.08","0.064","6","111","477","0","0","0","0.083","0.07","0.055","0.118","0.131","0.418","2.05","0.597","0.129","4.767","0.027","0","0.923","0.067","0","0.008","0.003","0.002","0","47.73"
"Pizza, cheese, gluten-free thin crust","Pizza","263","8.73","26.53","3.2","2.5","13.62","4.347","6.18","1.101","17","53","58","0","62","0","2005","30","0.166","0.37","2.106","0.084","0","24","24","24","11.5","0.24","0","0.3","0.1","1.58","0","5.9","259","172","16","1.59","1.24","0.061","7.5","120","485","0","0","0","0.105","0.088","0.065","0.144","0.161","0.518","2.403","0.715","0.159","5.688","0.032","0","1.035","0.081","0","0.009","0.003","0.003","0","48.98"
"Pizza, cheese, stuffed crust","Pizza","274","12.23","30","2.9","1.7","11.63","5.825","2.771","1.547","30","110","117","1","87","0","935","45","0.323","0.333","3.763","0.119","50","40","125","90","17.3","0.4","0","3.1","0","0.67","0","8.3","238","249","22","2.04","1.49","0.081","16","229","615","0","0","0","0.175","0.143","0.091","0.233","0.275","0.898","2.82","0.997","0.168","2.463","0.027","0.001","1.348","0.155","0","0.017","0.003","0.006","0","43.37"
"Pizza, cheese, whole wheat thick crust","Pizza","264","11.4","32.96","3.75","3.9","10.4","3.379","4.372","1.529","14","42","46","0","49","0","1588","63","0.295","0.298","3.874","0.171","37","59","87","61","16.4","0.19","0","0.2","0.1","1.25","0","6.3","212","228","58","2.73","1.65","0.144","20","203","548","0","0","0","0.087","0.07","0.045","0.108","0.123","0.397","1.827","0.607","0.126","4.281","0.026","0","1.396","0.145","0","0.007","0.002","0.002","0","42.71"
"Pizza, cheese, whole wheat thin crust","Pizza","266","11.77","28.62","3.59","3.5","12.38","4.123","5.39","1.567","17","53","58","0","62","0","2005","64","0.251","0.287","3.509","0.163","31","52","76","54","15.7","0.24","0","0.3","0.1","1.48","0","7.2","240","244","55","2.4","1.74","0.132","19.5","202","543","0","0","0","0.108","0.088","0.056","0.135","0.155","0.5","2.216","0.724","0.157","5.279","0.031","0","1.437","0.146","0","0.009","0.003","0.003","0","44.66"
"Pizza, cheese, with fruit, medium crust","Pizza","238","9.97","30.68","4.4","2.2","8.44","3.881","2.268","1.466","15","53","60","0","84","0","1664","50","0.347","0.173","3.382","0.083","45","36","113","82","15","0.36","0","6.2","0","0.72","0","5.9","165","189","22","2.19","1.18","0.104","17.3","162","520","0","0","0","0.088","0.07","0.048","0.123","0.152","0.523","1.997","0.746","0.102","2.076","0.032","0.002","1.274","0.156","0.002","0.01","0.003","0.003","0","48.79"
